meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.200072,0.328488,0.346608,0.27254,0.3279,0.386965,0.455637,0.521683,0.592128,0.66924,0.751566,0.840617,0.933063,1.02623,1.11958,1.21094,1.29862,1.38359,1.4634,1.53579,1.60087,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Beef,Beef,0.0415631,0.0590743,0.065243,0.078597,0.0959238,0.110572,0.132391,0.156008,0.183783,0.214564,0.246689,0.282968,0.31718,0.347932,0.375624,0.401223,0.424164,0.442376,0.457777,0.469979,0.479702,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Dairy,Dairy,0.321377,0.561478,0.572911,0.512998,0.694622,0.915245,1.20477,1.51974,1.89491,2.33626,2.82762,3.38108,3.93868,4.47188,4.95963,5.39797,5.76883,6.05448,6.25179,6.36883,6.43012,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0222303,0.0365081,0.0384952,0.0302598,0.0384376,0.0481441,0.0606427,0.0734259,0.0881706,0.105797,0.126177,0.149537,0.174819,0.201232,0.22765,0.253222,0.277038,0.29866,0.317328,0.332596,0.344928,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FeedCrops,Beef,Beef,0.100454,0.165636,0.214497,0.262171,0.290743,0.327332,0.367768,0.415058,0.464693,0.514054,0.5632,0.607556,0.652388,0.693568,0.728153,0.758434,0.784184,0.803461,0.816622,0.827047,0.833091,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FeedCrops,Dairy,Dairy,0.956966,2.20216,2.76867,3.09828,3.50393,3.8928,4.3616,4.83851,5.29011,5.69381,6.07681,6.39357,6.71838,6.99331,7.19704,7.35171,7.45039,7.47745,7.44336,7.40144,7.32904,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FeedCrops,Pork,Pork,0.0010405,8.75651E-4,4.68702E-4,3.41093E-4,3.68855E-4,4.328E-4,4.85632E-4,5.33037E-4,5.75591E-4,6.05381E-4,6.23641E-4,6.29529E-4,6.32055E-4,6.29529E-4,6.23609E-4,6.15008E-4,5.98467E-4,5.73948E-4,5.45772E-4,5.20483E-4,4.9573E-4,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FeedCrops,Poultry,Poultry,0.810732,1.69532,2.22038,2.85645,3.15575,3.60531,4.0747,4.58708,5.10816,5.61845,6.11363,6.55833,6.9819,7.35779,7.67499,7.95467,8.19615,8.3886,8.53421,8.64945,8.726,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.044315,0.0577968,0.070656,0.0880967,0.0981609,0.111605,0.126207,0.142461,0.159209,0.175772,0.192182,0.207331,0.222421,0.236267,0.248263,0.258958,0.268397,0.276165,0.282337,0.287495,0.291225,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Beef,Beef,0.276185,0.430501,0.527792,0.611266,0.668882,0.773788,0.879565,1.00083,1.13364,1.27241,1.40846,1.53942,1.65593,1.76076,1.85003,1.92743,1.99256,2.04879,2.09631,2.13164,2.1542,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Dairy,Dairy,2.51558,5.74963,6.81081,7.18609,7.89261,8.86847,9.91223,10.933,12.0033,13.0471,14.0061,14.8885,15.6018,16.168,16.5815,16.8636,16.9993,17.0437,17.0251,16.9411,16.7718,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Pork,Pork,0.00237831,0.00262705,0.0012497,0.00102318,0.00109174,0.00131552,0.00149117,0.00164491,0.00179059,0.0019028,0.00197096,0.0020051,0.00200637,0.00198863,0.00196144,0.00192404,0.00185957,0.00177664,0.001688,0.0016056,0.0015245,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.430095,0.688012,0.750486,0.92537,1.00863,1.18842,1.35856,1.53882,1.72959,1.92474,2.10835,2.28345,2.4245,2.5451,2.64692,2.73301,2.80343,2.86844,2.92831,2.97111,2.99903,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.111004,0.146252,0.168621,0.198268,0.219271,0.254604,0.290786,0.330546,0.372884,0.416402,0.458974,0.499948,0.537062,0.570439,0.599445,0.624872,0.646666,0.665794,0.682324,0.695298,0.704452,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,Pasture_FodderGrass,Beef,Beef,0.220279,0.349131,0.434779,0.511619,0.555826,0.637255,0.713778,0.797432,0.889191,0.985459,1.0793,1.16967,1.24881,1.31716,1.3775,1.42937,1.46942,1.49905,1.51772,1.52935,1.53386,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,Pasture_FodderGrass,Dairy,Dairy,0.929028,1.49661,1.80277,1.93533,2.07572,2.25608,2.42394,2.5585,2.71371,2.87123,3.01506,3.14968,3.25124,3.31633,3.36878,3.39737,3.38677,3.34543,3.2789,3.21045,3.13583,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Northern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.194726,0.256092,0.300311,0.359374,0.396365,0.45892,0.521172,0.588024,0.659095,0.732212,0.803503,0.87209,0.933755,0.988191,1.03621,1.07811,1.11272,1.14137,1.16393,1.18102,1.19229,Mt,
