meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.200072,0.328488,0.346608,0.27254,0.327832,0.386602,0.454555,0.520175,0.590132,0.667018,0.749552,0.838718,0.931776,1.02801,1.12516,1.22097,1.31332,1.40014,1.48018,1.55411,1.61878,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Beef,Beef,0.0415631,0.0590743,0.065243,0.078597,0.0965246,0.112563,0.134018,0.156462,0.182208,0.210299,0.237939,0.268393,0.295829,0.31812,0.336573,0.351839,0.365896,0.379104,0.391635,0.402999,0.414452,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Dairy,Dairy,0.321377,0.561478,0.572911,0.512998,0.699973,0.928435,1.23086,1.55968,1.9451,2.39431,2.88625,3.43827,3.99701,4.54339,5.05842,5.50992,5.90751,6.2209,6.44604,6.58924,6.67513,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0222303,0.0365081,0.0384952,0.0302598,0.038463,0.0481185,0.0605575,0.0733012,0.0878908,0.105364,0.125504,0.148522,0.173374,0.199645,0.226176,0.251559,0.27528,0.296222,0.314117,0.328555,0.34039,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Northern,Mixed,FeedCrops,Beef,Beef,0.100454,0.165636,0.214497,0.262171,0.289713,0.327944,0.369175,0.415122,0.464922,0.514079,0.561469,0.608064,0.654215,0.696332,0.732148,0.76068,0.784056,0.80282,0.821468,0.830381,0.839329,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Northern,Mixed,FeedCrops,Dairy,Dairy,0.956966,2.20216,2.76867,3.09828,3.48545,3.90419,4.38683,4.85975,5.33097,5.73741,6.11563,6.45507,6.80856,7.1192,7.3445,7.50147,7.58136,7.61133,7.64638,7.59768,7.55009,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Northern,Mixed,FeedCrops,Pork,Pork,0.0010405,8.75651E-4,4.68702E-4,3.41093E-4,3.68534E-4,4.33913E-4,4.86906E-4,5.32082E-4,5.71856E-4,5.9686E-4,6.09988E-4,6.13339E-4,6.15123E-4,6.14371E-4,6.11551E-4,6.0265E-4,5.86359E-4,5.66058E-4,5.43579E-4,5.16893E-4,4.91315E-4,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Northern,Mixed,FeedCrops,Poultry,Poultry,0.810732,1.69532,2.22038,2.85645,3.15603,3.61959,4.10168,4.6197,5.14903,5.66555,6.16565,6.62446,7.06324,7.45245,7.78516,8.0742,8.32,8.53288,8.70999,8.82984,8.91975,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Northern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.044315,0.0577968,0.070656,0.0880967,0.0982171,0.112316,0.127496,0.144136,0.161393,0.178515,0.195516,0.211502,0.227426,0.242145,0.255185,0.266889,0.277112,0.286004,0.293637,0.299205,0.303638,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Beef,Beef,0.276185,0.430501,0.527792,0.611266,0.668124,0.771064,0.87493,0.990791,1.11877,1.2526,1.37973,1.50835,1.61976,1.71809,1.80356,1.87013,1.92612,1.97071,2.01169,2.03965,2.05982,Mt,
