LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,All LandLeaf,16.96290340788599,19.766772628866008,21.66765397885925,97.5898358198072,91.94537297658782,89.37241945731033,85.10251876079367,148.97142288459588,197.34088965584075,223.5173530816781,252.2726301383503,199.56491220084973,176.6099739585802,155.87289819722488,127.19536800159567,105.60477122719676,84.43920452798521,68.17368190608107,53.065414034146514,39.652547119947975,31.526051908186464,24.008989052084164,14.424536638623813,10.215891291335032,4.306214935414135,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,All LandLeaf,-8.83002972082367,-6.7841780120134505,-6.243885534645335,0.007970996171604572,3.921505059832513,4.629535488973686,4.325266147047437,15.898588643787361,10.366438308345813,23.144792403197254,12.452878068376146,7.790217908365596,4.345790016262875,2.336819167992624,-0.07390117379411731,-1.6572752840311307,-3.2458938041980736,-3.723899781821435,-4.388595954457662,-5.94826809661988,-7.448653907595983,-7.8421377453413195,-5.54011610958671,-3.895800159259872,-2.7432734316599903,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Southern,All LandLeaf,-3.3446443165049207,6.110444287725463,13.394173658503156,14.801264845628355,14.76348987339169,14.696884056148352,122.4133040618164,190.0343660668148,72.80101871897769,123.70265122850425,129.23807477429344,102.21224507294612,115.85052494195223,122.28538704735337,117.93643712565407,108.98333359820806,100.58622443446065,88.8679215853281,73.83994844149416,62.08981161339659,49.53547392096241,35.21833299761822,18.679694912484035,5.038478362890883,6.044896774763797,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Western,All LandLeaf,27.40537537713656,38.03437986522047,46.031963233582,110.61185990911807,107.6536936040059,105.17001822191037,164.40512244157003,228.66786472913304,155.1904724872382,417.8114881264118,427.2394766403702,439.23782762490544,363.2921444519487,318.04846801038565,265.510768617498,292.4832349134412,244.70863052860068,229.6462883685323,204.77805064525043,176.20997815323213,163.91221163138334,150.0075933572325,119.53205218948507,101.44383797075476,66.87305612719426,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Argentina,All LandLeaf,-9.392437094236088,-30.987814191935293,-40.96145742512953,12.957901779574144,22.723499877200307,27.23899525197315,52.17093570832223,58.82762081787273,31.691292764511502,10.318890574952393,20.097948893501997,18.47072203780368,19.825075939413924,18.298245123363287,14.755008207297346,12.280716918415786,7.41345581822427,4.945697316104942,1.7813068988342167,0.10375299709673343,-0.672459762778004,-1.34763562084861,-1.7567265637759932,-2.0848025608507306,-2.8032468533700623,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Australia_NZ,All LandLeaf,0.7811604220627899,0.9355683944863539,1.9279847910103234,24.801292048114423,17.640557572705823,14.103475927435015,-0.05873586251152557,17.676005717317718,-16.680746764527132,7.444896228800911,12.650343666724085,18.838800385082546,23.693129749833073,29.91366141514756,29.718185486906417,28.205557064236945,26.359028449990788,25.155696483666922,23.144185470462034,22.173477332297992,22.353234985347175,21.18744338790176,18.876247003824385,16.04189259831913,14.284764645367044,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Brazil,All LandLeaf,208.78042263462308,213.79414754702478,218.53212389380235,149.4459915469266,159.32130702130922,166.16892451527207,174.65817401015693,509.496715759119,119.56388058564642,92.769466502008,113.94443103427562,105.27577387994974,127.40595644275673,156.75606832984653,138.67864923970723,140.6854900276,107.68543973542987,82.17128156177824,62.075460994823885,50.05551010895572,36.652542073165534,40.66334348308538,22.375863341315455,12.839833846843725,15.501885478531344,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Canada,All LandLeaf,61.3272267891519,69.04110121786883,75.25803513919368,71.64177402548471,73.29160338772182,74.62289320024325,-72.0117633504604,-45.97001118055513,-34.61065683617843,1.094618351049332,19.94852784188072,48.7230668932659,86.51072296492372,121.06485792633656,133.15311214995862,124.97286441215043,112.79085233568395,109.87673671786591,95.05356611243472,85.94889346653162,81.51321339765859,75.29880634019591,65.50462328828479,54.664954057972686,45.106299599284384,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Central America and Caribbean,All LandLeaf,21.835561099230635,21.103485537800385,21.05122502100541,14.025103212736221,14.327946612091175,14.561378715876497,13.023429630450067,11.062625109113345,6.628452962152146,30.683263275875092,24.5479704380713,22.847900022456493,22.51686736609429,20.840776440890085,14.94707968497231,12.930604472986012,6.765403929920683,3.544941523228528,0.8962335016000931,-0.09818236173306823,-1.1380039674451472,-2.0331595665334,-2.824741659751756,-3.661910063560757,-3.899049362021294,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Central Asia,All LandLeaf,33.42462548953611,23.56501911420208,15.076196137781158,4.331172569562674,-10.206673538853916,-18.291753702996903,83.86599377363832,-10.003155223826797,-33.579218547663885,-14.211508318791084,-6.038107954709961,-0.4937855910727123,2.5235727242531856,4.418883591548752,5.179786097539344,6.463581125942453,6.228609847450805,6.091540694704905,5.8772769277924315,4.917106711055949,4.315026412848084,3.588863931417828,2.883283328424454,2.2379210626656323,1.6719563585346031,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",China,All LandLeaf,261.061957343642,284.3407505568378,297.6887709057147,130.05705322358,104.92841363156226,87.76012533926269,246.71020516947834,263.9554993064516,96.98768191643546,78.8414738418389,45.06586913092881,24.06735334316584,3.156684014705133,0.7123973021741732,-10.742853340217922,-17.488366098401894,-23.046429935386236,-27.384084794442018,-32.73066639938321,-36.47015577174706,-40.03893061083398,-40.758693398620615,-40.80561831793959,-38.379181853894856,-36.863775513008754,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",Colombia,All LandLeaf,-8.030329429835552,-0.3802011194596125,3.660966084345167,-1.4891124143730001,-5.974853491314001,-8.60536640493559,-6.338858277385496,20.841211724715237,-0.3724711792388769,8.406162459788804,6.541296370076745,10.359755968704011,13.211241957015673,12.596429145804288,9.158330481565175,8.94938285582593,5.682938681270908,3.1204369693260783,1.9584119479360118,0.7579684453251069,-0.549089003733304,-1.0497293084815695,-1.5615045953362048,-1.5690234349368428,-1.5176470213994573,MtC/yr,
"Reference,date=2025-20-6T13:04:51-07:00",EU-12,All LandLeaf,-8.784977076972424,-16.492834474151106,-20.204800399404796,-18.064764687122462,-18.81715963950377,-20.313159747873353,-19.049961203503265,2.6831926014769767,-15.648945861473173,-9.278438885355689,-12.11029989109693,-13.328834986176568,-14.043790269173396,-12.648788443314318,-10.693359215337754,-8.144491922649797,-5.149684682715473,-2.1228790456043978,-1.7140498380610052,-0.6753951258568431,1.7695709703825353,2.6621984130532836,3.9073862062723093,4.26071768359104,5.2159973269171465,MtC/yr,
