meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.200072,0.328488,0.346608,0.27254,0.327767,0.386604,0.45471,0.520386,0.59017,0.666794,0.749002,0.837271,0.928705,1.02166,1.11486,1.20677,1.2947,1.3775,1.45517,1.52518,1.58855,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Beef,Beef,0.0415631,0.0590743,0.065243,0.078597,0.0961478,0.111608,0.13294,0.155888,0.183287,0.213999,0.245836,0.280654,0.315249,0.345951,0.374316,0.399983,0.423773,0.446777,0.467388,0.484803,0.500573,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Dairy,Dairy,0.321377,0.561478,0.572911,0.512998,0.694559,0.913334,1.19933,1.50784,1.87327,2.30337,2.77919,3.30959,3.84623,4.35849,4.82988,5.24218,5.58921,5.8738,6.07332,6.19837,6.28209,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0222303,0.0365081,0.0384952,0.0302598,0.0384288,0.0480396,0.060412,0.0730082,0.0874269,0.104692,0.124574,0.147229,0.171553,0.196886,0.222138,0.2463,0.268562,0.288632,0.305505,0.319321,0.330736,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FeedCrops,Beef,Beef,0.100454,0.165636,0.214497,0.262171,0.291376,0.330827,0.373697,0.422489,0.474106,0.525847,0.577613,0.625883,0.675146,0.721351,0.761288,0.795848,0.826076,0.85179,0.870009,0.88384,0.89235,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FeedCrops,Dairy,Dairy,0.956966,2.20216,2.76867,3.09828,3.51379,3.94896,4.45688,4.961,5.44587,5.88969,6.31418,6.6875,7.07904,7.42439,7.70322,7.91854,8.08055,8.1968,8.22764,8.22211,8.16942,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FeedCrops,Pork,Pork,0.0010405,8.75651E-4,4.68702E-4,3.41093E-4,3.69305E-4,4.34518E-4,4.86594E-4,5.30523E-4,5.68395E-4,5.92484E-4,6.03969E-4,6.06337E-4,6.07199E-4,6.04246E-4,5.98892E-4,5.85454E-4,5.65406E-4,5.43999E-4,5.17505E-4,4.9219E-4,4.67416E-4,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FeedCrops,Poultry,Poultry,0.810732,1.69532,2.22038,2.85645,3.15906,3.62458,4.10812,4.62697,5.15622,5.6756,6.18083,6.64499,7.09246,7.49191,7.83559,8.1345,8.39369,8.61683,8.78484,8.91301,8.99887,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.044315,0.0577968,0.070656,0.0880967,0.0983066,0.112468,0.12769,0.144365,0.16166,0.178956,0.196251,0.212543,0.228923,0.24415,0.257699,0.269783,0.280609,0.290083,0.297665,0.303795,0.308196,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Beef,Beef,0.276185,0.430501,0.527792,0.611266,0.668776,0.772599,0.876922,0.996508,1.12719,1.26314,1.39655,1.52407,1.63693,1.73803,1.82377,1.89658,1.95607,2.00564,2.04776,2.07857,2.09861,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Dairy,Dairy,2.51558,5.74963,6.81081,7.18609,7.89586,8.8821,9.92352,10.9476,12.0238,13.0771,14.0483,14.9334,15.6615,16.2355,16.6681,16.9641,17.1025,17.1554,17.1393,17.0378,16.8526,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Pork,Pork,0.00237831,0.00262705,0.0012497,0.00102318,0.0010907,0.00130599,0.00146772,0.00160334,0.00172555,0.00180997,0.00184822,0.00185941,0.00184583,0.00181769,0.00178348,0.00172504,0.00164559,0.00156545,0.00147935,0.00139756,0.00131963,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.430095,0.688012,0.750486,0.92537,1.00723,1.17949,1.34244,1.51653,1.69928,1.88418,2.05745,2.21916,2.34716,2.45281,2.53988,2.61143,2.66485,2.70869,2.75076,2.77972,2.79863,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.111004,0.146252,0.168621,0.198268,0.219234,0.2544,0.290281,0.329715,0.371638,0.414764,0.457183,0.497748,0.534572,0.567614,0.596484,0.621503,0.642724,0.660913,0.676766,0.689069,0.697826,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,Pasture_FodderGrass,Beef,Beef,0.220279,0.349131,0.434779,0.511619,0.555375,0.633819,0.707808,0.78886,0.877311,0.96924,1.05772,1.14233,1.21558,1.27836,1.3301,1.37128,1.40547,1.4326,1.44939,1.45908,1.46208,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,Pasture_FodderGrass,Dairy,Dairy,0.929028,1.49661,1.80277,1.93533,2.07447,2.2451,2.40521,2.53486,2.68447,2.83522,2.96728,3.08996,3.18324,3.24062,3.27466,3.27998,3.26777,3.24163,3.18591,3.1207,3.04574,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.194726,0.256092,0.300311,0.359374,0.396175,0.457734,0.518946,0.58474,0.654463,0.726095,0.795903,0.862628,0.922639,0.975462,1.02112,1.05967,1.09259,1.12034,1.14233,1.1586,1.1692,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,Scavenging_Other,Beef,Beef,0.0314865,0.0501462,0.0626591,0.074055,0.0814961,0.0954337,0.108823,0.123675,0.139907,0.156924,0.173299,0.188703,0.201832,0.213187,0.222327,0.229147,0.234064,0.237778,0.240405,0.241777,0.242016,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,Scavenging_Other,Dairy,Dairy,0.234126,0.50143,0.60461,0.650428,0.692769,0.746918,0.789987,0.816325,0.863093,0.915557,0.957313,0.991059,1.01058,1.016,1.01077,0.989439,0.955973,0.921115,0.883976,0.846299,0.807744,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Mixed,Scavenging_Other,SheepGoat,SheepGoat,0.0389741,0.0511841,0.0600255,0.071895,0.0797035,0.0931154,0.106562,0.121161,0.136709,0.152781,0.168446,0.183334,0.196616,0.208356,0.218395,0.226656,0.233363,0.238935,0.243541,0.246883,0.248994,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Pastoral,Pasture_FodderGrass,Beef,Beef,0.0247934,0.039684,0.0408128,0.0416602,0.0451988,0.0516066,0.0574481,0.0636964,0.0705125,0.0776069,0.0843501,0.0907866,0.0962427,0.100795,0.104456,0.107196,0.109445,0.111143,0.111891,0.112127,0.111898,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Pastoral,Pasture_FodderGrass,Dairy,Dairy,0.180564,0.364125,0.389708,0.372593,0.388349,0.397481,0.407199,0.412802,0.416277,0.419974,0.425339,0.433351,0.441619,0.44619,0.450717,0.455968,0.465069,0.472772,0.472878,0.471855,0.469525,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Northern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.037702,0.0506165,0.0499579,0.0513519,0.0566257,0.0655829,0.0743902,0.0838032,0.0937867,0.104063,0.114032,0.123555,0.132018,0.139405,0.145741,0.150995,0.155435,0.159138,0.16199,0.164043,0.165317,Mt,
