LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,All LandLeaf,16.96290340788599,19.766772628866008,21.66765397885925,97.5898358198072,91.94537297658782,89.37241945731033,85.10251876079367,148.97142288459588,198.29023844738487,226.55917792655032,255.29569789813763,205.18164441810154,179.12819352855522,156.68871989076743,127.60175680524148,105.04466398189302,84.78706562742622,69.09169285748135,55.20465789287376,41.85498713089609,32.37604753545623,22.96703030902097,16.07615348987098,8.06187446590528,5.690874605914441,MtC/yr,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Northern,All LandLeaf,-8.83002972082367,-6.7841780120134505,-6.243885534645335,0.007970996171604572,3.921505059832513,4.629535488973686,4.325266147047437,15.898588643787361,10.818387033004836,23.236807235610435,12.676916728924063,7.698132321848298,4.256503973385925,2.2051440337160026,-0.19018543220901585,-1.714536498525061,-3.2777167795817546,-3.3808350467547377,-3.3821335910716703,-4.285392442568188,-5.571413061900323,-6.6859836528445005,-6.348714956707213,-4.0742773302838176,-3.4599459846906124,MtC/yr,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Southern,All LandLeaf,-3.3446443165049207,6.110444287725463,13.394173658503156,14.801264845628355,14.76348987339169,14.696884056148352,122.4133040618164,190.0343660668148,73.16094867648991,125.20114595754832,131.39385449073865,104.44545405417081,118.07618948986038,123.2842876542775,114.74098484496358,107.75324073105863,98.17554165019232,85.02637950652348,75.1250735630065,64.19123852197464,52.306180052202926,36.79823590483756,21.49280778965143,3.4442149272481837,6.150559078893501,MtC/yr,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Western,All LandLeaf,27.40537537713656,38.03437986522047,46.031963233582,110.61185990911807,107.6536936040059,105.17001822191037,164.40512244157003,228.66786472913304,150.4694864833339,419.1807489311447,418.63018107969435,443.37071427538166,357.76453930368075,323.72762262654766,292.80579774546936,289.89267765520907,265.8673692804266,244.10625321618392,221.01118438194354,190.54504522194827,165.2698580077549,150.82106389151284,128.13189672717976,90.52793140762499,77.83467224399723,MtC/yr,
"Reference,date=2025-8-6T12:58:36-07:00",Argentina,All LandLeaf,-9.392437094236088,-30.987814191935293,-40.96145742512953,12.957901779574144,22.723499877200307,27.23899525197315,52.17093570832223,58.82762081787273,31.137502006998147,10.517285023829357,20.613278044322126,19.592860323184418,20.76256823778031,18.90152679220202,15.946100360200083,12.38341206879192,7.807884362287572,4.995982888024341,1.848814890127717,0.8438809020481658,0.22223205578726718,-0.8476507316298366,-1.712033778052535,-2.966132080508282,-3.993102273154107,MtC/yr,
"Reference,date=2025-8-6T12:58:36-07:00",Australia_NZ,All LandLeaf,0.7811604220627899,0.9355683944863539,1.9279847910103234,24.801292048114423,17.640557572705823,14.103475927435015,-0.05873586251152557,17.676005717317718,-15.244703035413929,8.508092489821255,12.927551046734402,19.334586492376655,24.044888405654838,31.079704031185877,29.896149735726723,29.127030873952062,26.67297753666381,25.416773598419557,24.862121067822017,23.33744451315841,23.96303956552453,21.646039892418163,19.62255729937926,15.369541263204217,12.93198067045859,MtC/yr,
"Reference,date=2025-8-6T12:58:36-07:00",Brazil,All LandLeaf,208.78042263462308,213.79414754702478,218.53212389380235,149.4459915469266,159.32130702130922,166.16892451527207,174.65817401015693,509.496715759119,124.84937166412394,95.00499709785096,112.08925859611965,112.72734993875713,132.2046781702958,167.00415645745684,153.88103494774882,145.28780454408485,110.85492331832808,87.47261191100431,67.88204459103436,62.70186821291438,53.798628413010015,47.18692753086452,26.503111724172577,4.088544012732675,3.915846691943732,MtC/yr,
"Reference,date=2025-8-6T12:58:36-07:00",Canada,All LandLeaf,61.3272267891519,69.04110121786883,75.25803513919368,71.64177402548471,73.29160338772182,74.62289320024325,-72.0117633504604,-45.97001118055513,-32.07397857784095,10.27207769411812,35.46346259662096,71.22101812254868,109.64633038672409,134.30557824735382,149.14785882242296,131.99517027998232,128.13558654933755,136.97765368570236,127.41185694732687,123.21112954761104,113.07219099789167,98.05382602337095,82.93663973853322,67.1691221723356,46.086509349321,MtC/yr,
"Reference,date=2025-8-6T12:58:36-07:00",Central America and Caribbean,All LandLeaf,21.835561099230635,21.103485537800385,21.05122502100541,14.025103212736221,14.327946612091175,14.561378715876497,13.023429630450067,11.062625109113345,6.700014819294341,30.977143958140744,24.63737176469057,23.927586850149886,23.320069216010904,21.948521127141316,17.150108962868448,14.466201866046408,8.74770911985822,5.523835966815304,2.870897543091832,0.609718691926639,-0.14897377713188859,-1.168868380583776,-2.1594703587385737,-3.2257309385677835,-3.860170598671028,MtC/yr,
"Reference,date=2025-8-6T12:58:36-07:00",Central Asia,All LandLeaf,33.42462548953611,23.56501911420208,15.076196137781158,4.331172569562674,-10.206673538853916,-18.291753702996903,83.86599377363832,-10.003155223826797,-33.47438998492326,-13.633553114969489,-5.619923584965225,-0.1894713319288471,2.927204844925314,4.670892685247008,5.148128715776313,6.520957285709188,6.1262181821973485,6.133055488414097,6.312787702667386,5.235020713947405,4.572174808388354,3.6946289703154704,3.1681600179024305,2.214092097223679,1.730643865850567,MtC/yr,
