meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.200072,0.328488,0.346608,0.27254,0.327894,0.386472,0.45437,0.519699,0.589226,0.665473,0.746894,0.834748,0.925542,1.018,1.11059,1.20103,1.28745,1.36884,1.44467,1.51419,1.57623,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Beef,Beef,0.0415631,0.0590743,0.065243,0.078597,0.0961895,0.111576,0.132876,0.155734,0.182922,0.213251,0.244205,0.278268,0.311167,0.340137,0.365938,0.389183,0.411102,0.429087,0.443845,0.456236,0.466348,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Dairy,Dairy,0.321377,0.561478,0.572911,0.512998,0.695068,0.914066,1.19898,1.50646,1.87064,2.29911,2.77195,3.29911,3.82991,4.33623,4.79346,5.19688,5.54429,5.81033,5.99042,6.10193,6.16346,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0222303,0.0365081,0.0384952,0.0302598,0.0384522,0.0480724,0.0604196,0.0729834,0.0873764,0.104634,0.12454,0.147191,0.1716,0.197117,0.2224,0.246813,0.269577,0.289855,0.307095,0.321282,0.332785,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Northern,Mixed,FeedCrops,Beef,Beef,0.100454,0.165636,0.214497,0.262171,0.29135,0.33081,0.373749,0.422681,0.474417,0.526228,0.577927,0.626093,0.675185,0.720964,0.760988,0.79633,0.82706,0.853235,0.871711,0.884835,0.893333,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Northern,Mixed,FeedCrops,Dairy,Dairy,0.956966,2.20216,2.76867,3.09828,3.51378,3.94975,4.45968,4.96693,5.45488,5.90111,6.32846,6.70401,7.09702,7.44334,7.73369,7.96932,8.15139,8.28507,8.33316,8.33184,8.29359,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Northern,Mixed,FeedCrops,Pork,Pork,0.0010405,8.75651E-4,4.68702E-4,3.41093E-4,3.69203E-4,4.33594E-4,4.85509E-4,5.2927E-4,5.67526E-4,5.91999E-4,6.03948E-4,6.06999E-4,6.08285E-4,6.05819E-4,6.0146E-4,5.9023E-4,5.7306E-4,5.53267E-4,5.28357E-4,5.04204E-4,4.80551E-4,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Northern,Mixed,FeedCrops,Poultry,Poultry,0.810732,1.69532,2.22038,2.85645,3.15881,3.62325,4.10669,4.62556,5.15525,5.67415,6.17715,6.64001,7.08451,7.48005,7.82128,8.11744,8.37255,8.59016,8.75394,8.87631,8.95844,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Northern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.044315,0.0577968,0.070656,0.0880967,0.0982954,0.11243,0.127656,0.144347,0.161646,0.178901,0.196056,0.212205,0.228362,0.243313,0.256694,0.268738,0.279421,0.288758,0.296177,0.301997,0.306302,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Northern,Mixed,FodderHerb_Residue,Beef,Beef,0.276185,0.430501,0.527792,0.611266,0.668722,0.772138,0.876092,0.995143,1.12541,1.26084,1.39339,1.52042,1.6326,1.73298,1.81701,1.8882,1.94708,1.99587,2.03697,2.06846,2.08795,Mt,
