LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,All LandLeaf,16.96290340788599,19.766772628866008,21.66765397885925,97.5898358198072,91.94537297658782,89.37241945731033,85.10251876079367,148.97142288459588,198.89139357608866,225.1658830894035,253.26591278209025,201.56782757812496,175.4411269864632,154.35521573792258,125.64667875655297,102.23047580239086,81.82936057391207,64.40602894731613,48.18783078229756,36.318536648939755,27.395793773931395,20.151828261003374,14.037011137507708,7.059414732770465,5.3708078990971035,MtC/yr,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Northern,All LandLeaf,-8.83002972082367,-6.7841780120134505,-6.243885534645335,0.007970996171604572,3.921505059832513,4.629535488973686,4.325266147047437,15.898588643787361,10.38749640265723,22.972483820329415,12.564462480583057,7.842370902891789,4.339898273732087,2.326793130448364,-0.14642299230381528,-1.617178451572611,-3.2247472692103742,-3.670813734132135,-4.03348381149379,-5.727851828607612,-6.878182365732393,-7.376649863882879,-5.560787485954247,-3.5654233614936923,-3.110049778065975,MtC/yr,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Southern,All LandLeaf,-3.3446443165049207,6.110444287725463,13.394173658503156,14.801264845628355,14.76348987339169,14.696884056148352,122.4133040618164,190.0343660668148,72.89175810180694,122.90993124774535,129.08061261638375,101.12751803707617,113.80350127738438,120.46203582839553,113.51078158579308,107.0817398320445,97.47776137435952,84.18511822429736,69.28250598381565,57.667249477766056,45.26271436598645,31.16072969559673,17.43603129474757,1.4851905947391058,4.8625915170916985,MtC/yr,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Western,All LandLeaf,27.40537537713656,38.03437986522047,46.031963233582,110.61185990911807,107.6536936040059,105.17001822191037,164.40512244157003,228.66786472913304,156.3396154943786,421.5520320320898,420.00473017250874,436.85309007675784,350.9342216296446,314.9148070101871,283.05105517823273,273.12530324438694,245.76628003042705,219.69079435859933,189.23207041999095,173.5222381688908,153.2096525284047,138.1398196407927,118.77711613483206,84.0099951767043,75.47230381883476,MtC/yr,
"Reference,date=2025-8-6T12:58:42-07:00",Argentina,All LandLeaf,-9.392437094236088,-30.987814191935293,-40.96145742512953,12.957901779574144,22.723499877200307,27.23899525197315,52.17093570832223,58.82762081787273,31.667127320485264,10.42803711389355,20.06768106888723,19.027985176106963,20.19785273626542,18.306647558829194,15.333516034071414,11.761872316697685,7.237245255167516,4.969906805805123,1.8064296236206165,0.34994259339344364,-0.5825442330606229,-1.5451930900535684,-2.2295458997618156,-2.8944911189965175,-3.415148895860833,MtC/yr,
"Reference,date=2025-8-6T12:58:42-07:00",Australia_NZ,All LandLeaf,0.7811604220627899,0.9355683944863539,1.9279847910103234,24.801292048114423,17.640557572705823,14.103475927435015,-0.05873586251152557,17.676005717317718,-16.811703124952885,7.110406309618699,11.60459680168374,17.960621250998887,22.51292663490398,29.700293072093842,28.42509035388932,27.51177558305446,24.87989980512808,23.11359423977198,21.314762533269153,20.167847726088535,20.907343768415032,19.592794625036955,17.643194709564675,15.040439139246837,13.292773830723478,MtC/yr,
"Reference,date=2025-8-6T12:58:42-07:00",Brazil,All LandLeaf,208.78042263462308,213.79414754702478,218.53212389380235,149.4459915469266,159.32130702130922,166.16892451527207,174.65817401015693,509.496715759119,122.18461840735701,90.87271018723585,107.49788815809553,107.84009023921722,126.74190806365176,162.71143691979168,149.1704567471167,140.43774050293396,105.04935097965466,79.94259029434167,52.936272943175155,49.612136444262404,41.23337896268634,39.037110296797195,19.655767105250202,4.625327244245058,6.837723394597553,MtC/yr,
"Reference,date=2025-8-6T12:58:42-07:00",Canada,All LandLeaf,61.3272267891519,69.04110121786883,75.25803513919368,71.64177402548471,73.29160338772182,74.62289320024325,-72.0117633504604,-45.97001118055513,-32.67203734421117,6.172114915313614,29.244391294316294,62.35713520552158,98.83185105745993,126.24940050445163,141.75415302355285,125.60750667161615,122.26563918542135,128.63711513359263,111.99828790382487,113.10830752136376,104.68755766837673,94.72956000528926,81.03594556297516,69.05604400853568,50.032532060387425,MtC/yr,
"Reference,date=2025-8-6T12:58:42-07:00",Central America and Caribbean,All LandLeaf,21.835561099230635,21.103485537800385,21.05122502100541,14.025103212736221,14.327946612091175,14.561378715876497,13.023429630450067,11.062625109113345,6.767457118177254,30.687031807280277,24.312679107121586,22.855828805553887,21.961465043707253,21.15181391202041,16.285518667806496,13.35263634855911,7.572421370216814,3.972999215654559,1.0297607461567007,-0.208141126548286,-0.881852777908052,-1.688414620290716,-2.5970266527065107,-3.3918490302483977,-3.7594432240295372,MtC/yr,
"Reference,date=2025-8-6T12:58:42-07:00",Central Asia,All LandLeaf,33.42462548953611,23.56501911420208,15.076196137781158,4.331172569562674,-10.206673538853916,-18.291753702996903,83.86599377363832,-10.003155223826797,-33.79593790291867,-14.362156661613342,-6.318612647479366,-0.8369828702925451,2.3354480858073576,4.171478945524939,4.669963594769849,6.133207804181475,5.899481921741734,5.831997520318379,5.69474262558716,4.6472127755384305,3.9443131176495254,3.130782840368117,2.7650140313941303,1.9482487624537457,1.592775330482817,MtC/yr,
