LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-8-6T12:58:40-07:00",Africa_Eastern,All LandLeaf,16.96290340788599,19.766772628866008,21.66765397885925,97.5898358198072,91.94537297658782,89.37241945731033,85.10251876079367,148.97142288459588,198.29023844738487,231.34423922182245,255.9789489374406,204.008474849013,178.71219348709616,156.21309253774274,126.42381500923779,104.28643717040113,83.73387943247519,65.22428942253312,51.99737524740561,41.367424571169416,30.307432086616974,21.648974146884093,14.214413470955057,5.587101823633906,3.1565500077416555,MtC/yr,
"Reference,date=2025-8-6T12:58:40-07:00",Africa_Northern,All LandLeaf,-8.83002972082367,-6.7841780120134505,-6.243885534645335,0.007970996171604572,3.921505059832513,4.629535488973686,4.325266147047437,15.898588643787361,10.818387033004836,22.095983203329173,12.79936747018746,7.096967784893367,3.5154292505343796,-0.011702508559025144,-2.8100777115053175,-5.172266376232001,-7.749951758977672,-5.655405000032452,-3.705816003849439,-4.807445485155547,-4.332305447812776,-4.515401426974931,-4.361865320308826,-3.1011347428091462,-2.9699471386230627,MtC/yr,
"Reference,date=2025-8-6T12:58:40-07:00",Africa_Southern,All LandLeaf,-3.3446443165049207,6.110444287725463,13.394173658503156,14.801264845628355,14.76348987339169,14.696884056148352,122.4133040618164,190.0343660668148,73.16094867648991,123.21631872554862,130.21906209044846,102.08946065916895,114.93054432804936,122.88566021538301,112.8840691303605,106.24239927470232,96.8609851867215,78.14608568523587,67.7473215490608,58.91303559476826,43.038589339223854,29.678983004027998,13.280712249330172,-1.0485447221515034,-0.7433171888527987,MtC/yr,
"Reference,date=2025-8-6T12:58:40-07:00",Africa_Western,All LandLeaf,27.40537537713656,38.03437986522047,46.031963233582,110.61185990911807,107.6536936040059,105.17001822191037,164.40512244157003,228.66786472913304,150.4694864833339,424.7569060255624,418.030194678713,439.9062562370487,353.8724121148369,322.5952279008358,291.5681608021456,283.97481394604193,260.6721136480574,230.68511648844847,206.0700596716385,181.12690641510784,149.36738266961615,136.54921170654205,111.18577126506972,79.28821600796493,65.15369864470843,MtC/yr,
"Reference,date=2025-8-6T12:58:40-07:00",Argentina,All LandLeaf,-9.392437094236088,-30.987814191935293,-40.96145742512953,12.957901779574144,22.723499877200307,27.23899525197315,52.17093570832223,58.82762081787273,31.137502006998147,10.357252611511308,19.983240108223665,19.97850530461932,21.24194923051509,19.299488542370895,16.215023789571333,12.531906920117484,7.887303064423694,7.232631579902536,3.550189654849291,1.8256527816985273,0.8184686635960666,0.08166303568186023,-0.8223653251981542,-1.6464082057024725,-2.3153401151845867,MtC/yr,
"Reference,date=2025-8-6T12:58:40-07:00",Australia_NZ,All LandLeaf,0.7811604220627899,0.9355683944863539,1.9279847910103234,24.801292048114423,17.640557572705823,14.103475927435015,-0.05873586251152557,17.676005717317718,-15.244703035413929,4.9275610793432545,11.557974873594398,17.5850165433943,22.10055872093148,29.397719077369974,27.902088285806332,28.16027715378279,25.91492565069705,25.219885914561374,24.98960260865094,23.58884608661553,23.854981870965513,19.38696768221986,16.55204160766562,13.469646493988165,11.055079680715346,MtC/yr,
"Reference,date=2025-8-6T12:58:40-07:00",Brazil,All LandLeaf,208.78042263462308,213.79414754702478,218.53212389380235,149.4459915469266,159.32130702130922,166.16892451527207,174.65817401015693,509.496715759119,124.84937166412394,93.15134356619288,111.70415729538446,113.88958907539389,134.23073349134373,170.55879263117532,156.4265480808196,147.0403691636903,114.79394043889013,84.5730368941316,67.62596831658495,71.1943522558067,59.316407201548316,45.785666454340856,21.519270566209887,-2.5785053835774576,-2.894038485912105,MtC/yr,
"Reference,date=2025-8-6T12:58:40-07:00",Canada,All LandLeaf,61.3272267891519,69.04110121786883,75.25803513919368,71.64177402548471,73.29160338772182,74.62289320024325,-72.0117633504604,-45.97001118055513,-32.07397857784095,7.824494600459177,30.25467385551773,61.814539619735235,96.86063726507368,127.52178289853104,143.04887982016075,126.81665927942343,124.07731776062964,127.7408156218256,118.65158951690225,122.36609771583296,110.78791423891172,99.47539577156293,83.26211070321158,69.27028162023576,48.9439162124723,MtC/yr,
"Reference,date=2025-8-6T12:58:40-07:00",Central America and Caribbean,All LandLeaf,21.835561099230635,21.103485537800385,21.05122502100541,14.025103212736221,14.327946612091175,14.561378715876497,13.023429630450067,11.062625109113345,6.700014819294341,30.94049225585475,24.58179438287056,23.316894777810102,22.593114175970875,21.760963475061228,16.85046807746368,13.929115924951327,8.142848750426012,3.789461569395484,0.9784309567549031,0.10232628127835729,-0.5615606619536647,-1.5603675156898187,-2.705643111933506,-3.775836865848106,-4.404820215400426,MtC/yr,
"Reference,date=2025-8-6T12:58:40-07:00",Central Asia,All LandLeaf,33.42462548953611,23.56501911420208,15.076196137781158,4.331172569562674,-10.206673538853916,-18.291753702996903,83.86599377363832,-10.003155223826797,-33.47438998492326,-14.66459684360404,-5.756901719858764,-0.489505012248636,2.577970691040417,4.262776561651538,4.6785163291447205,6.749123972492042,6.633754397190696,6.830427586955907,7.0549850026551635,5.5830818715177015,4.765913850069163,3.9120222918010357,3.2026773713721624,2.156959951046256,1.594451409619356,MtC/yr,
